Comment,Designator,Footprint,LCSC Part Number
100uF,C1,Capacitor_SMD:CP_Elec_8x10,C445063
470pF,C2,Capacitor_SMD:C_0805_2012Metric,C445063
470uF,C3,Capacitor_SMD:CP_Elec_10x10.5,C72518
10uF,C4,Capacitor_SMD:C_0805_2012Metric,C2932476
100nF,C5,Capacitor_SMD:C_0805_2012Metric,C1711
D_Schottky,D1,Diode_SMD:D_SOD-123,C82544
LED,"D2, D3",LED_SMD:LED_0603_1608Metric,C72041
Fuse,"F1, F2",Fuse:Fuse_1206_3216Metric,C163134
SW_Push,"FLASH1, RST1",Button_Switch_SMD:SW_SPST_B3U-1000P,C231329
Fan,J1,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
Power,J2,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C161869
220uH,L1,PSPHAQ127-221M:L_12x12mm_H8mm,C10151
120,R1,Resistor_SMD:R_0402_1005Metric,C25079
270,R2,Resistor_SMD:R_0402_1005Metric,C25531
0.15,R4,Resistor_SMD:R_1206_3216Metric,C247454
2K2,R5,Resistor_SMD:R_0402_1005Metric,C25879
3K6,R6,Resistor_SMD:R_0402_1005Metric,C2758740
10K,"R7, R8, R9, R10, R11",Resistor_SMD:R_0402_1005Metric,C25531
SW_Push,SW1,Tactile-Switch-6-6:SW_Push_1P1T_NO_6x6mm_H5mm,C255812
MC34063AD,U1,MC34063:MC34063,C100023
ESP-12F,U2,RF_Module:ESP-12E,C82891
